,Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
0,A. Morin,Carenero,1315,2014,0.7,France,2.75,Criollo,Venezuela
1,A. Morin,Sur del Lago,1315,2014,0.7,France,3.5,Criollo,Venezuela
2,A. Morin,Puerto Cabello,1319,2014,0.7,France,3.75,Criollo,Venezuela
3,A. Morin,Madagascar,1011,2013,0.7,France,3.0,Criollo,Madagascar
4,A. Morin,Chuao,1015,2013,0.7,France,4.0,Trinitario,Venezuela
5,Acalli,"Tumbes, Norandino",1470,2015,0.7,U.S.A.,3.75,Criollo,Peru
6,Adi,Vanua Levu,705,2011,0.6,Fiji,2.75,Trinitario,Fiji
7,Adi,"Vanua Levu, Toto-A",705,2011,0.8,Fiji,3.25,Trinitario,Fiji
8,Adi,Vanua Levu,705,2011,0.88,Fiji,3.5,Trinitario,Fiji
9,Adi,"Vanua Levu, Ami-Ami-CA",705,2011,0.72,Fiji,3.5,Trinitario,Fiji
10,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.55,Ecuador,2.75,Forastero (Arriba),Ecuador
11,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.7,Ecuador,3.0,Forastero (Arriba),Ecuador
12,Ah Cacao,Tabasco,316,2009,0.7,Mexico,3.0,Criollo,Mexico
13,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,0.75,Switzerland,3.75,Trinitario,Indonesia
14,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,0.75,Switzerland,2.75,Criollo,Madagascar
15,Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,0.75,Switzerland,2.75,Forastero,Brazil
16,Alain Ducasse,Trinite,1215,2014,0.65,France,2.75,Trinitario,Trinidad
17,Alain Ducasse,Vietnam,1215,2014,0.75,France,2.75,Trinitario,Vietnam
18,Alain Ducasse,Madagascar,1215,2014,0.75,France,3.0,Trinitario,Madagascar
19,Alain Ducasse,Chuao,1061,2013,0.75,France,2.5,Trinitario,Venezuela
20,Alexandre,"Winak Coop, Napo",1944,2017,0.7,Netherlands,3.5,Forastero (Nacional),Ecuador
21,Alexandre,"La Dalia, Matagalpa",1944,2017,0.7,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
22,Alexandre,Tien Giang,1944,2017,0.7,Netherlands,3.5,Trinitario,Vietnam
23,Alexandre,"Makwale Village, Kyela",1944,2017,0.7,Netherlands,3.5,Forastero,Tanzania
24,Altus aka Cao Artisan,Conacado,1125,2013,0.6,U.S.A.,3.0,Trinitario,Dominican Republic
25,Amano,Chuao,544,2010,0.7,U.S.A.,3.0,Trinitario,Venezuela
26,Amano,Madagascar,129,2007,0.7,U.S.A.,3.5,Trinitario,Madagascar
27,Amano,Ocumare,175,2007,0.7,U.S.A.,3.75,Criollo,Venezuela
28,Amatller (Simon Coll),Ghana,322,2009,0.7,Spain,3.0,Forastero,Ghana
29,Amatller (Simon Coll),Ghana,464,2009,0.85,Spain,3.0,Forastero,Ghana
30,Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,0.73,Peru,3.5,Trinitario,Peru
31,Ambrosia,Belize,1494,2015,0.64,Canada,3.0,Trinitario,Belize
32,Ambrosia,Madagascar,1494,2015,0.66,Canada,3.25,Trinitario,Madagascar
33,Amedei,Porcelana,111,2007,0.7,Italy,4.0,Criollo (Porcelana),Venezuela
34,Amedei,Chuao,111,2007,0.7,Italy,5.0,Trinitario,Venezuela
35,Amedei,Ecuador,123,2007,0.7,Italy,3.0,Trinitario,Ecuador
36,Amedei,Jamaica,123,2007,0.7,Italy,3.0,Trinitario,Jamaica
37,Amedei,Grenada,123,2007,0.7,Italy,3.5,Trinitario,Grenada
38,Amedei,Venezuela,123,2007,0.7,Italy,3.75,Trinitario (85% Criollo),Venezuela
39,Amedei,Madagascar,123,2007,0.7,Italy,4.0,Trinitario (85% Criollo),Madagascar
40,Amedei,Trinidad,129,2007,0.7,Italy,3.5,Trinitario,Trinidad
41,AMMA,Catongo,1065,2013,0.75,Brazil,3.25,Forastero (Catongo),Brazil
42,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.85,Brazil,2.75,Forastero (Parazinho),Brazil
43,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.5,Brazil,3.75,Forastero (Parazinho),Brazil
44,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.75,Brazil,3.75,Forastero (Parazinho),Brazil
45,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.6,Brazil,4.0,Forastero (Parazinho),Brazil
46,Ara,Madagascar,1375,2014,0.75,France,3.0,Trinitario,Madagascar
47,Arete,San Juan,1724,2016,0.7,U.S.A.,3.5,Trinitario,Trinidad
48,Arete,Tien Giang,1900,2016,0.73,U.S.A.,3.5,Trinitario,Vietnam
49,Arete,Phantom,1924,2016,0.7,U.S.A.,4.0,Forastero (Nacional),Peru
50,Arete,Nacional,1534,2015,0.68,U.S.A.,3.5,Forastero (Nacional),Peru
51,Arete,"Puerto Quito, heirloom",1534,2015,0.7,U.S.A.,3.75,Forastero (Nacional),Ecuador
52,Arete,Maya Mountain,1598,2015,0.7,U.S.A.,3.75,Trinitario,Belize
53,Arete,Chuno,1598,2015,0.7,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua
54,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,0.72,U.K.,3.25,Trinitario,Trinidad
55,Artisan du Chocolat,Jamaica,531,2010,0.72,U.K.,3.75,Trinitario,Jamaica
56,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,0.72,U.K.,3.25,Trinitario,Vietnam
57,Artisan du Chocolat,"Ocumare, Venezuela",355,2009,0.75,U.K.,2.5,"Criollo, Trinitario",Venezuela
